Word,Count
buck,4
did,2
not,4
read,1
the,41
newspapers,1
or,7
he,10
would,1
have,1
known,1
that,3
trouble,1
was,9
brewing,1
alone,1
for,4
himself,1
but,4
every,1
tide,1
water,1
dog,1
strong,2
of,14
muscle,1
and,23
with,4
warm,1
long,3
hair,1
from,3
puget,1
sound,1
to,5
san,1
diego,1
because,2
men,3
groping,1
in,7
arctic,1
darkness,1
had,2
found,1
a,7
yellow,1
metal,1
steamship,1
transportation,1
companies,1
were,8
booming,1
find,1
thousands,1
rushing,1
into,2
northland,1
these,1
wanted,2
dogs,5
they,3
heavy,1
muscles,1
by,3
which,3
toil,1
furry,1
coats,1
protect,1
them,4
frost,1
lived,3
at,7
big,2
house,3
sunkissed,1
santa,1
clara,1
valley,1
judge,3
millers,3
place,3
it,3
called,1
stood,1
back,2
road,1
half,1
hidden,1
among,2
trees,1
through,3
glimpses,1
could,2
be,2
caught,1
wide,1
cool,2
veranda,1
ran,1
around,1
its,1
four,2
sides,1
approached,1
gravelled,1
driveways,1
wound,1
about,1
widespreading,1
lawns,1
under,1
interlacing,1
boughs,1
tall,1
poplars,1
rear,1
things,2
on,6
even,2
more,1
spacious,1
scale,1
than,1
front,1
there,5
great,2
stables,1
where,3
dozen,1
grooms,1
boys,2
held,1
forth,1
rows,1
vineclad,1
servants,1
cottages,1
an,1
endless,1
orderly,1
array,1
outhouses,1
grape,1
arbors,1
green,1
pastures,1
orchards,1
berry,2
patches,2
then,1
pumping,1
plant,1
artesian,1
well,1
cement,1
tank,2
took,1
their,2
morning,2
plunge,1
kept,1
hot,1
afternoon,1
over,2
this,1
demesne,1
ruled,1
here,2
born,1
years,1
his,3
life,1
true,1
other,3
so,1
vast,1
count,1
came,1
went,2
resided,1
populous,1
kennels,1
obscurely,1
recesses,1
after,1
fashion,1
toots,3
japanese,1
pug,1
ysabel,3
mexican,1
hairless—strange,1
creatures,1
rarely,1
put,1
nose,1
out,2
doors,1
set,1
foot,1
ground,1
hand,1
fox,1
terriers,2
score,1
least,1
who,1
yelped,1
fearful,1
promises,1
looking,1
windows,1
protected,1
legion,1
housemaids,1
armed,1
brooms,1
mops,1
neither,1
housedog,1
nor,1
kenneldog,1
whole,1
realm,1
plunged,1
swimming,1
hunting,1
judges,4
sons,1
escorted,1
mollie,1
alice,1
daughters,1
twilight,1
early,1
rambles,1
wintry,1
nights,1
lay,1
feet,1
before,1
roaring,1
library,1
fire,1
carried,1
grandsons,1
rolled,1
grass,1
guarded,1
footsteps,1
wild,1
adventures,1
down,1
fountain,1
stable,1
yard,1
beyond,1
paddocks,1
stalked,1
imperiously,1
utterly,1
ignored,1
king—king,1
all,1
creeping,1
crawling,1
flying,1
humans,1
included,1
