"","Folder","Spectrogram1","Spectrogram2","Similarity"
"4754","m1","m1_script4_ipadflat_confroom1.wav.png","m1_script4_ipad_confroom1.wav.png",0.96689
"13618","m9","m9_script1_ipad_office1.wav.png","m9_script1_ipadflat_office1.wav.png",0.966655
"27919","m4","m4_script1_ipad_office1.wav.png","m4_script1_ipadflat_office1.wav.png",0.9658325
"3651","m1","m1_script5_ipadflat_confroom1.wav.png","m1_script5_ipad_confroom1.wav.png",0.96574
"21316","m5","m5_script1_ipadflat_confroom1.wav.png","m5_script1_ipad_confroom1.wav.png",0.965255
"13568","m9","m9_script3_ipad_livingroom1.wav.png","m9_script3_ipad_bedroom1.wav.png",0.96489
"24075","m2","m2_script4_ipad_confroom1.wav.png","m2_script4_ipadflat_confroom1.wav.png",0.964115
"11119","m7","m7_script2_ipadflat_confroom1.wav.png","m7_script2_ipad_confroom1.wav.png",0.964055
"22904","m5","m5_script1_ipad_office1.wav.png","m5_script1_ipadflat_office1.wav.png",0.963995
"23649","m2","m2_script1_ipad_office1.wav.png","m2_script1_ipadflat_office1.wav.png",0.96389
"9753","m6","m6_script2_ipadflat_confroom1.wav.png","m6_script2_ipad_confroom1.wav.png",0.9636875
"22259","m5","m5_script2_ipad_office1.wav.png","m5_script2_ipadflat_office1.wav.png",0.9627975
"13089","m9","m9_script5_ipad_office1.wav.png","m9_script5_ipadflat_office1.wav.png",0.9627
"12707","m9","m9_script1_iphone_livingroom1.wav.png","m9_script1_iphone_bedroom1.wav.png",0.9625825
"10971","m7","m7_script5_ipadflat_office1.wav.png","m7_script5_ipad_office1.wav.png",0.9623125
"290","m8","m8_script4_iphone_balcony1.wav.png","m8_script4_ipad_balcony1.wav.png",0.9622825
"19075","f2","f2_script5_iphone_balcony1.wav.png","f2_script5_ipad_balcony1.wav.png",0.9622675
"42542","f8","f8_script5_iphone_balcony1.wav.png","f8_script5_ipad_balcony1.wav.png",0.96223
"22845","m5","m5_script4_ipadflat_office1.wav.png","m5_script4_ipad_office1.wav.png",0.96216
"26703","m4","m4_script5_ipad_office1.wav.png","m4_script5_ipadflat_office1.wav.png",0.9620625
"28249","m4","m4_script2_ipad_office1.wav.png","m4_script2_ipadflat_office1.wav.png",0.96196
"18395","f2","f2_script2_ipad_office1.wav.png","f2_script2_ipadflat_office1.wav.png",0.9619375
"13379","m9","m9_script5_iphone_bedroom1.wav.png","m9_script5_iphone_livingroom1.wav.png",0.961765
"29541","f9","f9_script2_ipad_office1.wav.png","f9_script2_ipadflat_office1.wav.png",0.9612675
"12129","m7","m7_script2_ipad_office1.wav.png","m7_script2_ipadflat_office1.wav.png",0.96115
"10228","m6","m6_script4_ipad_office1.wav.png","m6_script4_ipadflat_office1.wav.png",0.9608375
"5462","m1","m1_script3_ipad_livingroom1.wav.png","m1_script3_ipad_bedroom1.wav.png",0.960665
"12770","m9","m9_script2_iphone_bedroom1.wav.png","m9_script2_iphone_livingroom1.wav.png",0.9606625
"28286","m4","m4_script3_ipadflat_office1.wav.png","m4_script3_ipad_office1.wav.png",0.960575
"4032","m1","m10_script1_ipad_office1.wav.png","m10_script1_ipadflat_office1.wav.png",0.9605425
"27148","m4","m4_script5_ipad_confroom1.wav.png","m4_script5_ipadflat_confroom1.wav.png",0.9605375
"4623","m1","m1_script4_ipad_bedroom1.wav.png","m1_script4_ipad_livingroom1.wav.png",0.9604575
"4116","m1","m10_script4_ipad_office1.wav.png","m10_script4_ipadflat_office1.wav.png",0.9604325
"42442","f8","f8_script1_ipad_balcony1.wav.png","f8_script1_iphone_balcony1.wav.png",0.96031
"42080","f8","f8_script4_ipad_balcony1.wav.png","f8_script4_iphone_balcony1.wav.png",0.96027
"14205","m9","m9_script4_iphone_bedroom1.wav.png","m9_script4_iphone_livingroom1.wav.png",0.96015
"40205","f1","f10_script5_iphone_balcony1.wav.png","f10_script5_ipad_balcony1.wav.png",0.96014
"25622","m3","m3_script1_ipadflat_confroom1.wav.png","m3_script1_ipad_confroom1.wav.png",0.960075
"23929","m2","m2_script2_ipad_confroom1.wav.png","m2_script2_ipadflat_confroom1.wav.png",0.9600225
"21637","m5","m5_script4_ipad_confroom1.wav.png","m5_script4_ipadflat_confroom1.wav.png",0.9599175
"17809","f2","f2_script3_ipad_balcony1.wav.png","f2_script3_iphone_balcony1.wav.png",0.9598375
"37042","f1","f10_script4_ipad_office1.wav.png","f10_script4_ipadflat_office1.wav.png",0.959785
"20645","f5","f5_script4_ipadflat_office1.wav.png","f5_script4_ipad_office1.wav.png",0.959615
"9019","m6","m6_script3_ipadflat_confroom1.wav.png","m6_script3_ipad_confroom1.wav.png",0.95961
"19059","f2","f2_script1_ipadflat_office1.wav.png","f2_script1_ipad_office1.wav.png",0.9596
"24371","m2","m2_script1_ipad_bedroom1.wav.png","m2_script1_ipad_livingroom1.wav.png",0.9592625
"9365","m6","m6_script3_ipad_office1.wav.png","m6_script3_ipadflat_office1.wav.png",0.9592325
"4529","m1","m10_script3_ipad_livingroom1.wav.png","m10_script3_ipad_bedroom1.wav.png",0.9591175
"24914","m3","m3_script3_ipad_balcony1.wav.png","m3_script3_iphone_balcony1.wav.png",0.9590975
"41846","f8","f8_script1_ipad_office1.wav.png","f8_script1_ipadflat_office1.wav.png",0.958885
"22124","m5","m5_script4_ipad_confroom2.wav.png","m5_script4_ipad_livingroom1.wav.png",0.9587375
"29411","f9","f9_script2_ipad_balcony1.wav.png","f9_script2_iphone_balcony1.wav.png",0.9587225
"17918","f2","f2_script2_iphone_balcony1.wav.png","f2_script2_ipad_balcony1.wav.png",0.9587125
"12188","m7","m7_script3_ipad_livingroom1.wav.png","m7_script3_ipad_bedroom1.wav.png",0.9586575
"6983","m1","m10_script2_ipadflat_confroom1.wav.png","m10_script2_ipad_confroom1.wav.png",0.9586
"39440","f1","f10_script1_ipad_balcony1.wav.png","f10_script1_iphone_balcony1.wav.png",0.9585975
"21131","f5","f5_script2_ipadflat_office1.wav.png","f5_script2_ipad_office1.wav.png",0.9585725
"14080","m9","m9_script5_ipad_livingroom1.wav.png","m9_script5_ipad_bedroom1.wav.png",0.958445
"29378","f9","f9_script3_ipadflat_confroom1.wav.png","f9_script3_ipad_confroom1.wav.png",0.95844
"23570","m2","m2_script5_ipad_confroom1.wav.png","m2_script5_ipad_office2.wav.png",0.958375
"3473","m1","m1_script2_iphone_bedroom1.wav.png","m1_script2_iphone_livingroom1.wav.png",0.958365
"2112","m1","m1_script1_ipad_office1.wav.png","m1_script1_ipadflat_office1.wav.png",0.958335
"1634","m8","m8_script1_iphone_balcony1.wav.png","m8_script1_ipad_balcony1.wav.png",0.9582625
"26044","m3","m3_script4_iphone_balcony1.wav.png","m3_script4_ipad_balcony1.wav.png",0.95825
"7636","m1","m10_script5_ipad_livingroom1.wav.png","m10_script5_ipad_bedroom1.wav.png",0.95821
"34358","f1","f10_script3_ipadflat_office1.wav.png","f10_script3_ipad_office1.wav.png",0.958185
"16379","f3","f3_script1_ipad_office1.wav.png","f3_script1_ipadflat_office1.wav.png",0.9578575
"23970","m2","m2_script3_ipad_confroom1.wav.png","m2_script3_ipad_office2.wav.png",0.9577275
"15799","f4","f4_script4_ipad_office1.wav.png","f4_script4_ipadflat_office1.wav.png",0.957665
"7781","m1","m1_script3_ipad_confroom1.wav.png","m1_script3_ipad_office2.wav.png",0.9576375
"14088","m9","m9_script3_iphone_bedroom1.wav.png","m9_script3_iphone_livingroom1.wav.png",0.957545
"3376","m1","m10_script2_ipad_livingroom1.wav.png","m10_script2_ipad_bedroom1.wav.png",0.9575175
"7996","m1","m1_script2_ipad_office2.wav.png","m1_script2_ipad_confroom1.wav.png",0.9574975
"16783","f3","f3_script4_ipadflat_confroom1.wav.png","f3_script4_ipad_confroom1.wav.png",0.9574925
"35118","f1","f10_script3_iphone_balcony1.wav.png","f10_script3_ipad_balcony1.wav.png",0.95744
"41259","f8","f8_script5_ipad_office1.wav.png","f8_script5_ipadflat_office1.wav.png",0.957405
"19113","f2","f2_script5_ipadflat_office1.wav.png","f2_script5_ipad_office1.wav.png",0.9572575
"7925","m1","m10_script5_ipad_confroom1.wav.png","m10_script5_ipadflat_confroom1.wav.png",0.957255
"31716","f7","f7_script3_ipadflat_confroom1.wav.png","f7_script3_ipad_confroom1.wav.png",0.9571575
"22042","m5","m5_script3_ipad_livingroom1.wav.png","m5_script3_ipad_confroom2.wav.png",0.9570725
"20238","f5","f5_script1_ipadflat_office1.wav.png","f5_script1_ipad_office1.wav.png",0.9569925
"19497","f2","f2_script4_iphone_balcony1.wav.png","f2_script4_ipad_balcony1.wav.png",0.9567825
"16157","f3","f3_script1_ipad_confroom1.wav.png","f3_script1_ipadflat_confroom1.wav.png",0.9567525
"25063","m3","m3_script1_ipadflat_office1.wav.png","m3_script1_ipad_office1.wav.png",0.9567425
"6133","m1","m1_script2_ipadflat_office1.wav.png","m1_script2_ipad_office1.wav.png",0.9567275
"18517","f2","f2_script1_ipad_balcony1.wav.png","f2_script1_iphone_balcony1.wav.png",0.95668
"23104","m2","m2_script4_ipad_confroom2.wav.png","m2_script4_ipad_livingroom1.wav.png",0.9566025
"36040","f1","f10_script5_ipad_office1.wav.png","f10_script5_ipadflat_office1.wav.png",0.95658
"24069","m2","m2_script4_ipad_confroom1.wav.png","m2_script4_ipad_office2.wav.png",0.956525
"16843","f3","f3_script4_iphone_balcony1.wav.png","f3_script4_ipad_balcony1.wav.png",0.9565
"39247","f1","f10_script3_ipad_confroom1.wav.png","f10_script3_ipadflat_confroom1.wav.png",0.9564875
"27311","m4","m4_script1_ipad_livingroom1.wav.png","m4_script1_ipad_confroom2.wav.png",0.956335
"41152","f8","f8_script2_ipadflat_office1.wav.png","f8_script2_ipad_office1.wav.png",0.9563325
"16028","f3","f3_script4_ipad_office1.wav.png","f3_script4_ipadflat_office1.wav.png",0.9562875
"3280","m1","m10_script5_iphone_balcony1.wav.png","m10_script5_ipad_balcony1.wav.png",0.9562725
"962","m8","m8_script1_ipadflat_office1.wav.png","m8_script1_ipad_office1.wav.png",0.95614
"7288","m1","m10_script1_ipad_livingroom1.wav.png","m10_script1_ipad_bedroom1.wav.png",0.9561075
"26070","m3","m3_script4_ipadflat_office1.wav.png","m3_script4_ipad_office1.wav.png",0.956075
"13191","m9","m9_script1_ipad_office2.wav.png","m9_script1_ipad_confroom1.wav.png",0.9560525
"9270","m6","m6_script3_ipad_livingroom1.wav.png","m6_script3_ipad_confroom2.wav.png",0.9560225
"21197","f5","f5_script2_iphone_balcony1.wav.png","f5_script2_ipad_balcony1.wav.png",0.955985
"185","m8","m8_script1_ipad_confroom1.wav.png","m8_script1_ipadflat_confroom1.wav.png",0.95597
"1951","m1","m1_script3_iphone_livingroom1.wav.png","m1_script3_iphone_bedroom1.wav.png",0.9559
"25014","m3","m3_script3_ipad_confroom1.wav.png","m3_script3_ipadflat_confroom1.wav.png",0.9558225
"4327","m1","m1_script4_iphone_livingroom1.wav.png","m1_script4_iphone_bedroom1.wav.png",0.955815
"3926","m1","m10_script5_iphone_bedroom1.wav.png","m10_script5_iphone_livingroom1.wav.png",0.955795
"3072","m1","m10_script1_ipadflat_confroom1.wav.png","m10_script1_ipad_confroom1.wav.png",0.9557925
"26135","m3","m3_script3_ipad_office1.wav.png","m3_script3_ipadflat_office1.wav.png",0.9557825
"6573","m1","m1_script1_ipad_livingroom1.wav.png","m1_script1_ipad_bedroom1.wav.png",0.9555675
"14303","f4","f4_script1_iphone_balcony1.wav.png","f4_script1_ipad_balcony1.wav.png",0.9554975
"24521","m2","m2_script4_ipad_livingroom1.wav.png","m2_script4_ipad_bedroom1.wav.png",0.9554775
"19977","f5","f5_script3_iphone_balcony1.wav.png","f5_script3_ipad_balcony1.wav.png",0.9553175
"2825","m1","m10_script1_iphone_bedroom1.wav.png","m10_script1_iphone_livingroom1.wav.png",0.955315
"21376","m5","m5_script3_ipad_confroom1.wav.png","m5_script3_ipad_office2.wav.png",0.9553
"24873","m3","m3_script5_ipadflat_office1.wav.png","m3_script5_ipad_office1.wav.png",0.9552275
"2236","m1","m10_script4_ipad_bedroom1.wav.png","m10_script4_ipad_livingroom1.wav.png",0.9551625
"26166","m3","m3_script5_ipad_balcony1.wav.png","m3_script5_iphone_balcony1.wav.png",0.9550675
"26956","m4","m4_script1_ipad_bedroom1.wav.png","m4_script1_ipad_livingroom1.wav.png",0.95504
"42134","f8","f8_script3_ipadflat_office1.wav.png","f8_script3_ipad_office1.wav.png",0.9549875
"22011","m5","m5_script5_ipad_confroom2.wav.png","m5_script5_ipad_livingroom1.wav.png",0.9548525
"15841","f4","f4_script1_ipad_office1.wav.png","f4_script1_ipadflat_office1.wav.png",0.954795
"21445","m5","m5_script4_iphone_bedroom1.wav.png","m5_script4_iphone_livingroom1.wav.png",0.954785
"9094","m6","m6_script2_ipad_bedroom1.wav.png","m6_script2_ipad_livingroom1.wav.png",0.95477
"3716","m1","m1_script2_ipad_livingroom1.wav.png","m1_script2_ipad_office2.wav.png",0.954755
"22045","m5","m5_script3_ipad_livingroom1.wav.png","m5_script3_ipad_bedroom1.wav.png",0.954735
"10459","m6","m6_script5_ipadflat_office1.wav.png","m6_script5_ipad_office1.wav.png",0.9547
"36469","f1","f10_script4_ipad_balcony1.wav.png","f10_script4_iphone_balcony1.wav.png",0.954695
"11859","m7","m7_script4_ipad_office1.wav.png","m7_script4_ipadflat_office1.wav.png",0.9546625
"21872","m5","m5_script1_ipad_confroom2.wav.png","m5_script1_ipad_livingroom1.wav.png",0.954575
